Time,Right,Left
-1.87822624,0,0.000091552734375
-1.87820544,0,NaN
-1.87818448,0,0
-1.87816368,0,0.00006103515625
-1.87814288,0,NaN
-1.87812192,0,0.000091552734375
-1.87810112,0,0.000091552734375
-1.87808032,0,0.000030517578125
-1.87805936,0,1.999969482421875
-1.87803856,0,1.99993896484375
-1.87801696,NaN,1.999908447265625
-1.8779968,0,1.9998779296875
-1.877976,0,NaN
-1.87795504,0,1.999908447265625
-1.87793424,0,1.9998779296875
-1.87791344,0,NaN
-1.87789248,0,0.000030517578125
-1.87787168,0,0.000030517578125
-1.87785008,NaN,0.000030517578125
-1.87782992,0,0.000030517578125
-1.87780912,0,0
-1.87778752,NaN,0.00006103515625
-1.87776736,0,0.00006103515625
-1.87774656,0,NaN
-1.8777256,0,0.00006103515625
-1.8777048,0,0.000091552734375
-1.8776832,NaN,0.00006103515625
-1.87766304,0,NaN
-1.87764352,0,NaN
-1.87762256,0,0
-1.87760176,0.000030517578125,0
-1.87758032,NaN,0
-1.87756,NaN,0
-1.87754368,0.000030517578125,0
-1.87752288,0.00006103515625,0
-1.87750208,0,NaN
-1.87748112,1.999969482421875,0
-1.87746032,1.999969482421875,0
-1.87743872,NaN,0
-1.87741856,1.999969482421875,0
-1.87739776,1.999969482421875,0
-1.87737616,NaN,0
-1.877356,1.9998779296875,0
-1.8773352,1.999969482421875,NaN
-1.87731424,1.999969482421875,0
-1.87729344,1.999969482421875,0
-1.877272,NaN,0
-1.87725168,1.999908447265625,0
-1.87723088,1.999908447265625,0
-1.87720928,NaN,0
-1.87718912,0.000091552734375,0
-1.87716832,0.0001220703125,0
-1.87714672,NaN,0
-1.87712656,NaN,0
-1.87709472,1.999847412109375,0
-1.87707392,1.999908447265625,NaN
-1.87705296,1.999908447265625,0
-1.87703216,NaN,0
-1.8770112,0,0.000091552734375
-1.8769904,0,NaN
-1.87696944,0,0.000030517578125
-1.87694864,0,0
-1.87692704,NaN,0
-1.87690688,0,0
-1.87688608,0,NaN
-1.87686512,0,1.999969482421875
-1.87684432,0,0
-1.87682272,NaN,0
-1.87680256,0,1.999969482421875
-1.87678176,0,NaN
-1.8767608,0,1.999786376953125
-1.87674,0,1.999755859375
-1.8767192,0,1.99981689453125
-1.87669824,0,1.99993896484375
-1.87667744,0,NaN
-1.8766416,0,NaN
-1.87662064,0,0.000152587890625
-1.87659984,0,0.000152587890625
-1.87657904,0,NaN
-1.87655296,0.000030517578125,0
-1.87653216,1.999969482421875,NaN
-1.8765112,1.999908447265625,0
-1.8764904,1.9998779296875,0
-1.8764688,NaN,0
-1.87644864,1.99993896484375,0
-1.87642784,0.000030517578125,0
-1.87640624,NaN,0
-1.87638608,0.000091552734375,0
-1.87636528,0.000091552734375,0
-1.87634432,0.000091552734375,0
-1.87632352,0.00006103515625,0
-1.87630272,NaN,0
-1.8762752,NaN,0
-1.87625504,0,1.999969482421875
-1.87623424,0,NaN
-1.87621328,0,1.999908447265625
-1.87619248,0,0
-1.87617168,0,NaN
-1.87615072,0,0.000091552734375
-1.87612992,0,0.00006103515625
-1.87610848,NaN,0.000091552734375
-1.87609328,0,0.0001220703125
-1.87607248,0,NaN
-1.87605152,0,0.000030517578125
-1.87603072,0,1.999969482421875
-1.87600928,NaN,1.99993896484375
-1.87598896,0,1.999908447265625
-1.87596816,0,1.99993896484375
-1.87594656,NaN,0
-1.8759264,0,0.000030517578125
-1.8759056,0,NaN
-1.87588464,0.000030517578125,NaN
-1.8758696,0,0.000030517578125
-1.875848,NaN,0.000030517578125
-1.87582784,0,0.000030517578125
-1.87580704,0,NaN
-1.87578608,0,0.000030517578125
-1.87576528,0,1.999969482421875
-1.87574448,0,NaN
-1.87572352,0,NaN
-1.87569776,1.999847412109375,0
-1.87567696,1.99993896484375,0
-1.87565616,1.999969482421875,NaN
-1.8756352,0,0
-1.8756144,0.000091552734375,0
-1.87559296,0.000244140625,NaN
-1.87557264,0.000152587890625,0
-1.87555184,0.0001220703125,0
-1.87553024,NaN,0
-1.87551008,0.000091552734375,0
-1.87548928,0.000030517578125,0
-1.87546768,NaN,0
-1.87544752,0.000030517578125,0
-1.87542672,0.00006103515625,NaN
-1.87540672,0,0
-1.87538592,0,1.999969482421875
-1.87536432,NaN,1.999908447265625
-1.87534416,0,1.999908447265625
-1.87532336,0,NaN
-1.8753024,0,1.999969482421875
-1.8752816,0,1.999969482421875
-1.8752608,0,NaN
-1.87523984,0,1.99993896484375
-1.87521904,0,1.99993896484375
-1.87519824,0,1.999969482421875
-1.87517728,0,0
-1.87515648,0,0
-1.87513488,NaN,0.0001220703125
-1.87510432,0,0.0001220703125
-1.87508352,0,NaN
-1.87506256,0,0.0001220703125
-1.87504176,0,0.00006103515625
-1.87502096,0,NaN
-1.875,0,0
-1.8749792,0,1.999969482421875
-1.8749576,NaN,1.9998779296875
-1.87493744,0,1.99993896484375
-1.87491664,0,1.999969482421875
-1.87489504,NaN,0
-1.87487456,0,0
-1.87485296,NaN,0
-1.8748328,1.99993896484375,0
-1.874812,0.000030517578125,0
-1.8747904,NaN,0
-1.87477024,0.0001220703125,0
-1.87474944,0,NaN
-1.87472848,1.9998779296875,NaN
-1.87470768,0,NaN
-1.87468672,0,0
-1.87466592,0,1.99993896484375
-1.87464512,0,NaN
-1.87462416,0,1.999908447265625
-1.87460336,0,1.9998779296875
-1.87458256,0,NaN
-1.8745616,0,NaN
-1.87454016,1.999969482421875,0
-1.87451936,0,0
-1.87449776,NaN,0
-1.8744776,1.999908447265625,0
-1.8744568,1.999908447265625,0
-1.8744352,NaN,0
-1.87441504,0.000030517578125,0
-1.87439424,1.999969482421875,NaN
-1.87436656,0,1.9998779296875
-1.87434576,0,NaN
-1.87429952,1.99993896484375,0
-1.87427872,1.999908447265625,0
-1.87425728,1.999725341796875,NaN
-1.87423696,1.999908447265625,0
-1.87421616,1.99993896484375,0
-1.87419536,1.999908447265625,NaN
-1.8741744,0,0
-1.8741536,0.000030517578125,0
-1.87413216,0.000091552734375,NaN
-1.87411184,0.000030517578125,0
-1.87409104,0.000030517578125,0.000030517578125
-1.87406976,NaN,0
-1.87403792,NaN,0
-1.8740176,1.99981689453125,0
-1.8739968,1.999908447265625,0
-1.8739752,NaN,0
-1.87395504,0.000030517578125,0
-1.87393424,0.000030517578125,0
-1.87391264,NaN,0
-1.87389248,0.000030517578125,0
-1.87387168,0.000030517578125,0
-1.87385008,NaN,0
-1.87382992,1.99993896484375,0
-1.87380912,0.000091552734375,NaN
-1.87378816,0.0001220703125,0
-1.87376736,0.000152587890625,0
-1.87374592,0.000244140625,NaN
-1.8737256,0.000152587890625,0
-1.8737048,0.000091552734375,0
-1.8736832,NaN,0
-1.87366304,0,0
-1.87364224,1.999969482421875,0
-1.87362064,NaN,0.00006103515625
-1.8735992,NaN,0.00006103515625
-1.87357904,0,0
-1.87355824,0,0
-1.8735368,0,NaN
-1.87351648,0,1.999969482421875
-1.87349568,NaN,1.999969482421875
-1.87346576,0,1.999969482421875
-1.87344496,0,0
-1.87342336,NaN,1.999969482421875
-1.8734032,0,1.99993896484375
-1.8733824,0,0
-1.8733616,0,NaN
-1.87334064,1.99993896484375,NaN
-1.87331968,1.99993896484375,0
-1.87329888,0.000030517578125,0
-1.87327808,0.000091552734375,NaN
-1.87325712,0.00006103515625,0
-1.87323632,0,NaN
-1.8732144,0,0.000030517578125
-1.87318352,0,1.99969482421875
-1.87316192,NaN,0
-1.87314368,1.999908447265625,0
-1.87312288,1.999969482421875,NaN
-1.87310192,0.000091552734375,0
-1.87308112,0.0001220703125,0
-1.87306032,0.000152587890625,NaN
-1.87303936,0.000030517578125,0
-1.87301856,1.99993896484375,0
-1.87299776,1.99993896484375,NaN
-1.8729768,0.000030517578125,0
-1.872956,0.000152587890625,0.000030517578125
-1.87293488,NaN,0
-1.87291792,1.999908447265625,0
-1.87289712,1.9998779296875,0
-1.87287568,1.99993896484375,NaN
-1.87285536,0,0
-1.87283456,0.000030517578125,0
-1.87281312,NaN,0
-1.8727928,0.000030517578125,0
-1.872772,0.000030517578125,0
-1.8727504,NaN,0
-1.87273024,0.000030517578125,0
-1.87270944,0.000030517578125,0
-1.87268784,NaN,0
-1.87266768,0.000030517578125,0
-1.87264688,0,0
-1.87262528,NaN,0
-1.87260512,0,0
-1.87258432,0.000030517578125,0
-1.87256336,0,0
-1.87254256,1.999969482421875,0
